Campaign,Ad Group,Final URL,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Path 1,Path 2
"ITL - Dynamic Ads","Disease Models","https://www.genetargeting.com/all-catalog-mouse-models","All Catalog Mouse Models","Complete list of ready made","Request a Quote","Complete list of ready made mouse models available for immediate order. Humanized,","Custom mouse models since 1998. Expert team. Guaranteed results.","all-catalog-mouse-models",""
"ITL - Dynamic Ads","Disease Models","https://www.genetargeting.com/allergy-asthma-mouse-models","Allergy and Asthma Mouse","Allergy and asthma mouse","Request a Quote","Allergy and asthma mouse models for studying airway inflammation, IgE responses, and","Custom mouse models since 1998. Expert team. Guaranteed results.","allergy-asthma-mouse-models",""
"ITL - Dynamic Ads","Disease Models","https://www.genetargeting.com/als-mouse-models","ALS Mouse Models | ITL","ALS mouse models for studying","Request a Quote","ALS mouse models for studying motor neuron degeneration and disease mechanisms. SOD1,","Custom mouse models since 1998. Expert team. Guaranteed results.","als-mouse-models",""
"ITL - Dynamic Ads","Neuroscience","https://www.genetargeting.com/alzheimers-mouse-models","Alzheimer","Alzheimer","Request a Quote","Alzheimer","Custom mouse models since 1998. Expert team. Guaranteed results.","alzheimers-mouse-models",""
"ITL - Dynamic Ads","Cardiovascular","https://www.genetargeting.com/atherosclerosis-mouse-models","Atherosclerosis Mouse Models","Atherosclerosis mouse models","Request a Quote","Atherosclerosis mouse models for studying plaque formation, lipid metabolism, and","Custom mouse models since 1998. Expert team. Guaranteed results.","atherosclerosis-mouse-models",""
"ITL - Dynamic Ads","Immunology","https://www.genetargeting.com/autoimmune-disease-mice","Autoimmune Disease Mice | ITL","Autoimmune disease mice for","Request a Quote","Autoimmune disease mice for studying immune tolerance breakdown and self reactive","Custom mouse models since 1998. Expert team. Guaranteed results.","autoimmune-disease-mice",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/bac-to-bac-large-scale-targeting","BAC Recombineering for Large","BAC recombineering for large","Request a Quote","BAC recombineering for large scale genomic modifications. Engineer complex alleles and","Custom mouse models since 1998. Expert team. Guaranteed results.","bac-to-bac-large-scale-targeting",""
"ITL - Dynamic Ads","Services","https://www.genetargeting.com/backcrossing-services","Mouse Backcrossing Services","Transfer genetic modifications","Request a Quote","Transfer genetic modifications to C57BL/6, BALB/c, or other backgrounds. Speed congenic","Custom mouse models since 1998. Expert team. Guaranteed results.","backcrossing-services",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/balbc-mouse-background","BALB/c Mouse Strain Background","BALB/c mouse background for","Request a Quote","BALB/c mouse background for immunology and cancer research. Known for monoclonal antibody","Custom mouse models since 1998. Expert team. Guaranteed results.","balbc-mouse-background",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/breeding-scheme-architect","Breeding Scheme Architect","Custom mouse","Request a Quote","Breeding Scheme Architect from ingenious targeting laboratory. Custom mouse model","Custom mouse models since 1998. Expert team. Guaranteed results.","breeding-scheme-architect",""
